,guid,color,isCodable,name,lvl_1,lvl_2,lvl_3
0,07E06FC1-375D-4486-987E-3822A943D48F,#8C32A0,true,Explanations and help > communicationMechanism > teachWithExtensions,Explanations and help,communicationMechanism,teachWithExtensions
1,47A85B93-33D7-403D-A0AD-E2396DDC0474,#8C32A0,true,Explanations and help > communicationMechanism > guideInteractively,Explanations and help,communicationMechanism,guideInteractively
2,7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D,#8C32A0,true,Explanations and help > communicationMechanism > state,Explanations and help,communicationMechanism,state
3,F5118719-52BC-4694-928B-6618419F596B,#8C32A0,true,Explanations and help > communicationMechanism > explain,Explanations and help,communicationMechanism,explain
4,7BA8BB75-1C87-4C29-B421-A47F3AADE828,#8C32A0,true,Explanations and help > communicationMechanism > implement,Explanations and help,communicationMechanism,implement
5,CBC2A761-D76A-454D-B746-CC7CC056D0D8,#8C32A0,true,Explanations and help > communicationMechanism > suggest,Explanations and help,communicationMechanism,suggest
6,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,#8C32A0,true,Explanations and help > communicationMechanism > positiveConfirmation,Explanations and help,communicationMechanism,positiveConfirmation
7,8A2434C0-CAD2-42B7-8438-73E9066B7EC5,#8C32A0,true,Explanations and help > communicationMechanism > negativeConfirmation,Explanations and help,communicationMechanism,negativeConfirmation
8,E35A8596-D7AB-4540-918D-BF869846C5CB,#8C32A0,true,Explanations and help > confidenceLevel > phrasedAsCertain,Explanations and help,confidenceLevel,phrasedAsCertain
9,C3888D97-94AA-4521-BAAA-F1F6AB2CF96A,#8C32A0,true,Explanations and help > confidenceLevel > phrasedAsQuestion,Explanations and help,confidenceLevel,phrasedAsQuestion
10,A64C5184-4DB7-4263-A5FF-C342F2ECD671,#8C32A0,true,Explanations and help > confidenceLevel > phrasedAsUnsure,Explanations and help,confidenceLevel,phrasedAsUnsure
11,5BA47239-2ED6-447E-8476-C2D85F4F5B8B,#006EFF,true,Big picture of an interaction > request > codeComprehension,Big picture of an interaction,request,codeComprehension
12,B92EFB9D-A123-4FF0-BE14-0093C1AF66F7,#006EFF,true,Big picture of an interaction > request > codeImprove,Big picture of an interaction,request,codeImprove
13,11E0D7E1-25AB-4FCA-89E9-0D9DEC42FDAB,#006EFF,true,Big picture of an interaction > request > bugFix,Big picture of an interaction,request,bugFix
14,B8E7DC44-543D-43C7-94F9-549CA3CC1B6A,#006EFF,true,Big picture of an interaction > request > codeWrite,Big picture of an interaction,request,codeWrite
15,C8FACF99-1ED1-4498-B9D0-F978D0F6C83E,#006EFF,true,Big picture of an interaction > resolveRequest > success,Big picture of an interaction,resolveRequest,success
16,A67775FE-BE6E-4CE5-A506-094AD37A0177,#006EFF,true,Big picture of an interaction > resolveRequest > failure,Big picture of an interaction,resolveRequest,failure
17,9E1FD033-5597-4ABA-9225-72AFE3B60E72,#6E6E6E,true,General message attributes > contentDomain > proposedNewCode,General message attributes,contentDomain,proposedNewCode
18,E6837857-0AC3-48A2-91C4-ADFE86F60F23,#6E6E6E,true,General message attributes > contentDomain > errorLocation,General message attributes,contentDomain,errorLocation
19,A7D3D09C-73A1-49CF-94AD-2B79256F6683,#6E6E6E,true,General message attributes > contentDomain > learningResources,General message attributes,contentDomain,learningResources
20,FC4651D6-27F7-46CE-B171-988BD1F2AD2D,#6E6E6E,true,General message attributes > contentDomain > developmentStrategy,General message attributes,contentDomain,developmentStrategy
21,9A3D8A4B-D071-4D25-AF2F-8A2C7A8D11B3,#6E6E6E,true,General message attributes > contentDomain > errorMsg,General message attributes,contentDomain,errorMsg
22,FE2A4EFB-EDEF-42B9-B78B-5B48F734B831,#6E6E6E,true,General message attributes > contentDomain > errorLine,General message attributes,contentDomain,errorLine
23,EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C,#6E6E6E,true,General message attributes > contentDomain > originalCode,General message attributes,contentDomain,originalCode
24,6E130CFC-AD61-4559-822F-B37A19E2629B,#6E6E6E,true,General message attributes > contentDomain > codeOpinion,General message attributes,contentDomain,codeOpinion
25,FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB,#6E6E6E,true,General message attributes > contentDomain > testCases,General message attributes,contentDomain,testCases
26,25ECCA20-6EF2-40D5-9361-A6094FFE4E50,#6E6E6E,true,General message attributes > contentDomain > personalInfo,General message attributes,contentDomain,personalInfo
